Temps (s),Tension (V),Courant (A),Watt (W)
286,5.14750,1.08195,5.569337625
287,5.14756,1.08508,5.5855144048000005
288,5.14812,1.08000,5.5599696
289,5.14806,1.08282,5.5744223292
290,5.14750,1.08470,5.58349325
291,5.14875,1.07125,5.5155984375
292,5.148,1.07395,5.5286946
293,5.14687,1.08382,5.578280643399999
294,5.14881,1.06398,5.4782308637999995
295,5.16487,0.89325,4.613520127499999
296,5.16775,0.86170,4.4530501749999996
297,5.15063,1.04715,5.3934822045
298,5.14437,1.11040,5.712308448000001
299,5.14556,1.10580,5.689960247999999
300,5.14606,1.10058,5.6636507148
301,5.14587,1.10005,5.6607142935
302,5.14650,1.09440,5.632329599999999
303,5.14600,1.10365,5.6793829
304,5.14625,1.10415,5.6822319375
305,5.14550,1.10845,5.703529475
306,5.14381,1.11766,5.749030684600001
307,5.14437,1.10975,5.7089646075000005
308,5.14438,1.11200,5.72055056
309,5.14431,1.11125,5.7166144875
310,5.14388,1.11203,5.720148876400001
311,5.14375,1.11330,5.726536875
312,5.14487,1.10872,5.7042202664
313,5.14500,1.11285,5.7256132499999985
314,5.1453,1.10855,5.703822314999999
315,5.14612,1.09910,5.656100491999999
316,5.14594,1.09930,5.6569318420000005
317,5.14531,1.10875,5.7048624624999995
318,5.14525,1.11005,5.7114847625
319,5.14569,1.10578,5.6900010882
320,5.14562,1.10885,5.705720736999999
321,5.14550,1.10602,5.6910259100000005
322,5.14475,1.10908,5.7059393300000005
323,5.14456,1.10915,5.706088724000001
324,5.14637,1.09418,5.6310551266
325,5.14687,1.09475,5.6345359324999995
326,5.14569,1.10050,5.662831845
327,5.14500,1.10350,5.677507499999999
328,5.14500,1.10685,5.694743249999999
329,5.14575,1.10220,5.67164565
330,5.14581,1.10525,5.6874065025
331,5.14456,1.11210,5.721265176000001
332,5.14481,1.10708,5.6957162548
333,5.14537,1.09705,5.6447281585
334,5.14619,1.08807,5.5994149533
335,5.14675,1.08675,5.5932305625000005
336,5.14587,1.09623,5.6410570701000005
337,5.14500,1.10383,5.67920535
338,5.14525,1.10175,5.6687791875
339,5.14625,1.09390,5.629482875000001
340,5.14625,1.09462,5.633188175
341,5.14750,1.07825,5.550291874999999
342,5.14719,1.08468,5.5830540492
343,5.14512,1.10220,5.670951264000001
344,5.14625,1.08572,5.587386550000001
345,5.14625,1.08717,5.5948486125
346,5.14625,1.09160,5.617646499999999
347,5.14625,1.09360,5.627939
348,5.14687,1.08885,5.6041693995
349,5.14750,1.08360,5.577831
350,5.14706,1.08655,5.592538042999999
351,5.14694,1.08675,5.593437045
352,5.14687,1.09100,5.61523517
353,5.14689,1.09432,5.6323446648
354,5.14612,1.09460,5.632942952
355,5.14662,1.08903,5.6048235786000005
356,5.14756,1.08078,5.563379896800001
357,5.14819,1.07052,5.511240358799999
358,5.14750,1.07800,5.549005
359,5.14687,1.09175,5.6190953225
360,5.14687,1.09673,5.6447267351
361,5.14737,1.08602,5.590146767399999
362,5.14806,1.07300,5.52386838
363,5.14762,1.07970,5.557885314
364,5.14787,1.08210,5.570510127
365,5.16137,0.95770,4.943044049
366,5.16719,0.86635,4.4765950565
