Date,Time,Power,Phase
20.1.2026,23:27:52.181,4.548,yolo11n_seg_prune_0_75.onnx
20.1.2026,23:27:52.694,4.63,yolo11n_seg_prune_0_75.onnx
20.1.2026,23:27:53.209,4.571,yolo11n_seg_prune_0_75.onnx
20.1.2026,23:27:53.706,4.743,yolo11n_seg_prune_0_75.onnx
20.1.2026,23:27:54.204,4.47,yolo11n_seg_prune_0_75.onnx
20.1.2026,23:27:54.701,4.891,yolo11n_seg_prune_0_75.onnx
20.1.2026,23:27:55.199,4.535,yolo11n_seg_prune_0_75.onnx
20.1.2026,23:27:55.706,9.069,yolo11n_seg_prune_0_75.onnx
20.1.2026,23:27:56.196,17.524,yolo11n_seg_prune_0_75.onnx
20.1.2026,23:27:56.702,20.64,yolo11n_seg_prune_0_75.onnx
20.1.2026,23:27:57.201,21.469,yolo11n_seg_prune_0_75.onnx
20.1.2026,23:27:57.694,12.718,yolo11n_seg_prune_0_75.onnx
20.1.2026,23:27:58.202,5.172,Idle
20.1.2026,23:27:58.702,5.296,Idle
20.1.2026,23:27:59.201,4.915,Idle
20.1.2026,23:27:59.699,4.865,Idle
20.1.2026,23:28:0.199,4.902,Idle
20.1.2026,23:28:0.696,5.045,Idle
20.1.2026,23:28:1.210,4.908,Idle
20.1.2026,23:28:1.707,4.786,Idle
20.1.2026,23:28:2.206,4.786,Idle
20.1.2026,23:28:2.704,4.671,Idle
20.1.2026,23:28:3.202,5.166,Idle
20.1.2026,23:28:3.699,4.449,Idle
20.1.2026,23:28:4.214,4.78,Idle
20.1.2026,23:28:4.724,4.832,Idle
20.1.2026,23:28:5.222,4.919,Idle
20.1.2026,23:28:5.719,4.878,Idle
20.1.2026,23:28:6.218,4.779,Idle
20.1.2026,23:28:6.717,4.833,Idle
20.1.2026,23:28:7.213,4.994,Idle
20.1.2026,23:28:7.724,5.341,Idle
20.1.2026,23:28:8.221,12.219,Idle
20.1.2026,23:28:8.717,6.364,Idle
20.1.2026,23:28:9.210,5.924,Idle
20.1.2026,23:28:9.719,6.025,Idle
20.1.2026,23:28:10.211,7.932,Idle
20.1.2026,23:28:10.718,6.258,Idle
20.1.2026,23:28:11.224,7.02,Idle
