Date,Time,Power,Phase
16.1.2026,20:20:3.729,36.026,yolo11n_seg_prune_0_75.onnx
16.1.2026,20:20:4.232,42.041,yolo11n_seg_prune_0_75.onnx
16.1.2026,20:20:4.752,40.887,yolo11n_seg_prune_0_75.onnx
16.1.2026,20:20:5.259,41.15,yolo11n_seg_prune_0_75.onnx
16.1.2026,20:20:5.749,41.31,yolo11n_seg_prune_0_75.onnx
16.1.2026,20:20:6.261,28.636,yolo11n_seg_prune_0_75.onnx
16.1.2026,20:20:6.760,5.35,Idle
16.1.2026,20:20:7.258,4.938,Idle
16.1.2026,20:20:7.773,4.466,Idle
16.1.2026,20:20:8.271,4.398,Idle
16.1.2026,20:20:8.769,4.308,Idle
16.1.2026,20:20:9.268,4.54,Idle
16.1.2026,20:20:9.784,4.257,Idle
16.1.2026,20:20:10.282,4.603,Idle
16.1.2026,20:20:10.796,4.178,Idle
16.1.2026,20:20:11.309,4.566,Idle
16.1.2026,20:20:11.807,4.299,Idle
16.1.2026,20:20:12.307,4.536,Idle
16.1.2026,20:20:12.807,4.384,Idle
16.1.2026,20:20:13.307,4.49,Idle
16.1.2026,20:20:13.806,4.212,Idle
16.1.2026,20:20:14.307,4.693,Idle
16.1.2026,20:20:14.806,4.271,Idle
16.1.2026,20:20:15.320,4.71,Idle
16.1.2026,20:20:15.833,4.332,Idle
16.1.2026,20:20:16.328,9.464,Idle
16.1.2026,20:20:16.834,5.98,Idle
