Temps (s),Tension (V),Courant (A),Watt (W)
222,5.02575,0.47828,2.40371571
223,5.02437,0.48200,2.42174634
224,5.02500,0.48510,2.4376275
225,5.02687,0.48300,2.4279782099999996
226,5.02694,0.47910,2.408406954
227,5.02625,0.47855,2.4053119375
228,5.02625,0.47873,2.4062166625
229,5.02525,0.47812,2.40267253
230,5.02444,0.47740,2.398667656
231,5.02475,0.47797,2.4016797575
232,5.02500,0.48078,2.4159195
233,5.02575,0.48425,2.4337194375
234,5.02669,0.48385,2.4321639565
235,5.02663,0.48135,2.4195683505
236,5.02606,0.47897,2.4073319582000003
237,5.02534,0.47753,2.3997506102
238,5.02513,0.47743,2.3991478159
239,5.02575,0.47835,2.4040675125
240,5.02625,0.47890,2.407071125
241,5.02625,0.48010,2.413102625
242,5.02625,0.48032,2.4142084
243,5.02556,0.48160,2.4203096959999995
244,5.02563,0.48838,2.4544171793999996
245,5.02619,0.48558,2.4406173401999998
246,5.02625,0.48015,2.4133539375
247,5.02625,0.47935,2.4093329375
248,5.02625,0.47940,2.40958425
249,5.02584,0.47900,2.40737736
250,5.02556,0.47937,2.4091026972
251,5.02588,0.48045,2.414684046
252,5.02600,0.48260,2.4255476
253,5.02556,0.48698,2.4473472088
254,5.02588,0.48667,2.4459450196
255,5.02606,0.48048,2.4149213088000003
256,5.02556,0.47845,2.4044791819999998
257,5.02569,0.47855,2.4050439495
258,5.02500,0.47950,2.4094875
259,5.02468,0.48500,2.4369698
260,5.02563,0.48730,2.448989499
261,5.02625,0.48253,2.4253164125
262,5.02569,0.47968,2.4107229792
263,5.02469,0.48030,2.4133586069999997
264,5.02544,0.47525,2.38834036
265,5.04012,0.45945,2.315683134
266,5.06619,0.41895,2.1224803005
267,5.09556,0.33568,1.7104775808
268,5.11656,0.26988,1.3808572128
269,5.12513,0.24690,1.2653945970000002
270,5.12744,0.24667,1.2647856248
271,5.12875,0.24650,1.264236875
272,5.12875,0.24650,1.264236875
273,5.12875,0.24650,1.264236875
274,5.12875,0.24647,1.2640830125
275,5.12875,0.24625,1.2629546875
276,5.12875,0.24600,1.2616725
277,5.12369,0.24680,1.264526692
278,5.10681,0.28143,1.4372095383
279,5.09325,0.33278,1.6949317350000002
280,5.06994,0.40458,2.0511963252
281,5.03700,0.47210,2.3779677
282,5.02481,0.48257,2.4248225617
283,5.02519,0.47762,2.4001312478
284,5.02625,0.47675,2.3962646875
285,5.02694,0.47470,2.386288418
286,5.02663,0.47838,2.4046392594
287,5.02606,0.48247,2.4249231682000003
288,5.02556,0.48320,2.4283505919999997
289,5.02569,0.48305,2.4276595545
290,5.02525,0.48620,2.44327655
291,5.02362,0.48910,2.457052542
292,5.02456,0.48875,2.4557537000000003
293,5.02625,0.48683,2.4469292875
294,5.02563,0.48300,2.4273792899999997
295,5.02500,0.48118,2.4179295
296,5.02587,0.48307,2.4278470209000003
297,5.02581,0.48357,2.4303309417
298,5.02494,0.48285,2.426292279
299,5.02550,0.48275,2.4260601250000002
300,5.02563,0.48295,2.4271280084999995
301,5.02537,0.48322,2.4283592913999996
302,5.02463,0.48248,2.4242834824000004
303,5.02438,0.48253,2.4244140814
304,5.02456,0.48200,2.42183792
305,5.02513,0.48432,2.4337709615999996
306,5.02512,0.48395,2.431906824
307,5.02587,0.48323,2.4286511601000003
308,5.02613,0.48408,2.4330490104
309,5.02500,0.48250,2.4245625
310,5.02434,0.48272,2.4253494047999995
311,5.02431,0.48300,2.42674173
312,5.02494,0.48400,2.43207096
313,5.02450,0.48325,2.428089625
314,5.02384,0.48230,2.4229980319999997
315,5.02419,0.48305,2.4269349795
316,5.02481,0.48350,2.4294956350000003
317,5.02500,0.48368,2.430492
318,5.02475,0.48272,2.4255473199999997
319,5.02437,0.48235,2.4235048695000003
320,5.02444,0.48645,2.444138838
321,5.02413,0.49027,2.4631802151
322,5.02375,0.48600,2.4415424999999997
323,5.02400,0.48498,2.43653952
324,5.02513,0.48645,2.4444744885
325,5.02563,0.48450,2.4349177349999995
326,5.02500,0.48300,2.4270750000000003
327,5.02437,0.48188,2.4211434156
328,5.02431,0.48235,2.4234759285
329,5.02494,0.48475,2.435839665
330,5.02550,0.48565,2.440634075
331,5.02569,0.48488,2.4368565672
332,5.02563,0.47695,2.3969742284999995
333,5.03319,0.46102,2.3204012538
334,5.05244,0.43590,2.202358596
335,5.07838,0.38090,1.9343549420000001
336,5.11269,0.29228,1.4943370331999999
337,5.12331,0.24718,1.2663797658
338,5.12556,0.24700,1.26601332
339,5.12719,0.24695,1.2661595705
340,5.12825,0.24670,1.2651392750000001
341,5.12875,0.24650,1.264236875
342,5.12875,0.24650,1.264236875
343,5.12875,0.24650,1.264236875
344,5.12875,0.24650,1.264236875
345,5.12650,0.24650,1.26368225
346,5.11450,0.26390,1.3497165500000001
347,5.09887,0.31050,1.5831991349999999
348,5.06969,0.39113,1.9829078496999997
349,5.03900,0.45245,2.27989555
350,5.02913,0.4725,2.376263925
351,5.02688,0.47075,2.3664037600000003
352,5.02700,0.47280,2.3767656
353,5.02831,0.47342,2.3805025202000003
354,5.02738,0.47090,2.367393242
355,5.02700,0.47142,2.36982834
356,5.02906,0.47560,2.3918209360000002
357,5.02906,0.47510,2.389306406
358,5.02613,0.47650,2.394950945
359,5.02569,0.47550,2.3897155949999997
360,5.02687,0.47247,2.3750452688999997
361,5.02688,0.47700,2.39782176
362,5.02569,0.47467,2.3855442722999998
363,5.02556,0.47522,2.3882466231999997
364,5.02650,0.47730,2.39914845
365,5.02594,0.47368,2.3806872592
366,5.02469,0.47350,2.3791907149999996
367,5.02513,0.47550,2.389449315
368,5.02537,0.47188,2.3713715956
369,5.02463,0.47102,2.3667012226
370,5.02531,0.47467,2.3853638977
371,5.02775,0.47482,2.387276255
372,5.02688,0.47387,2.3820876256
373,5.02563,0.47805,2.4025024214999995
374,5.02569,0.47663,2.3953946247
375,5.02783,0.47725,2.3995318675
376,5.02875,0.47720,2.3997195
377,5.02875,0.47253,2.3762352375
378,5.02819,0.47635,2.3951783065
379,5.02656,0.47505,2.387867328
380,5.02425,0.47430,2.3830017750000003
381,5.02514,0.47580,2.3909616120000003
382,5.02812,0.47410,2.3838316920000002
383,5.02875,0.47408,2.3840298
384,5.02750,0.47468,2.3864536999999997
385,5.02600,0.47363,2.38046438
386,5.02675,0.47555,2.3904709625
387,5.02683,0.47505,2.3879955915
388,5.02594,0.47350,2.37978259
389,5.02725,0.47735,2.3997577875
390,5.02794,0.47665,2.396567601
391,5.02750,0.47865,2.406412875
392,5.02831,0.47775,2.4022751025
393,5.03013,0.46350,2.331465255
394,5.04625,0.44850,2.263243125
395,5.08319,0.37065,1.8840843735
396,5.11263,0.27880,1.4254012440000001
397,5.12985,0.23457,1.2033089145
398,5.13212,0.22857,1.1730486683999999
399,5.13294,0.22850,1.17287679
400,5.13306,0.22835,1.1721342510000001
401,5.13350,0.22810,1.17095135
402,5.13375,0.22800,1.170495
403,5.13375,0.22800,1.170495
404,5.13375,0.22800,1.170495
405,5.13113,0.23050,1.182725465
406,5.12025,0.24555,1.2572773875
407,5.10231,0.29425,1.5013547175000002
408,5.07975,0.37345,1.8970326375
409,5.04419,0.44850,2.262319215
410,5.02681,0.48000,2.4128688
411,5.02569,0.48045,2.4145927605
412,5.02563,0.48050,2.4148152149999995
413,5.02619,0.47885,2.4067910814999998
414,5.02575,0.47730,2.398790475
415,5.02563,0.47720,2.398230636
416,5.02613,0.47882,2.4066115666
417,5.02625,0.47945,2.4098355625
418,5.02531,0.48075,2.4159177825
419,5.02394,0.48400,2.4315869599999997
420,5.02483,0.48540,2.4390524819999997
421,5.02650,0.48215,2.423526975
422,5.02663,0.47885,2.4070017755
423,5.02613,0.47920,2.408521496
424,5.02563,0.48008,2.4127044503999997
425,5.02569,0.48073,2.4159999537
426,5.02487,0.48000,2.4119376
427,5.02500,0.48085,2.4162712500000003
428,5.02500,0.48450,2.4346125
429,5.02488,0.48313,2.4276702743999996
430,5.02613,0.47858,2.4054052954
431,5.02575,0.48115,2.4181396125
432,5.02556,0.48375,2.43111465
433,5.02606,0.48095,2.417283557
434,5.02588,0.48000,2.4124224
435,5.02494,0.47978,2.4108657131999998
436,5.02431,0.48013,2.4123219603
437,5.02438,0.48247,2.4241126186
438,5.02450,0.48728,2.4483383599999997
439,5.02525,0.48530,2.438753825
440,5.02550,0.48080,2.4162604
441,5.02494,0.47990,2.411468706
442,5.02427,0.47900,2.40662533
443,5.02381,0.48250,2.423988325
444,5.02444,0.48552,2.4394661088
445,5.02500,0.48102,2.4171255
446,5.02550,0.47967,2.410581585
447,5.02563,0.48095,2.4170767484999995
448,5.02556,0.48070,2.4157866919999997
449,5.02525,0.48007,2.4124717675
450,5.02325,0.48232,2.42281394
451,5.02300,0.48590,2.4406757
452,5.02500,0.48590,2.4416475
453,5.02625,0.48210,2.423155125
454,5.02600,0.47980,2.4114748
455,5.02538,0.47982,2.4112778316
456,5.02481,0.48055,2.4146724455
457,5.02431,0.48105,2.4169443255
458,5.02664,0.47935,2.4095198840000003
459,5.03794,0.46100,2.32249034
460,5.06000,0.43080,2.179848
461,5.09875,0.32300,1.64689625
462,5.12794,0.22655,1.161734807
463,5.13113,0.22610,1.160148493
464,5.13681,0.22583,1.1600458023
465,5.13494,0.22558,1.1583397652
466,5.13500,0.22550,1.1579424999999999
467,5.13500,0.22550,1.1579424999999999
468,5.13500,0.22550,1.1579424999999999
469,5.13500,0.22550,1.1579424999999999
470,5.13404,0.22550,1.15772602
471,5.12937,0.23030,1.181293911
472,5.11544,0.25965,1.328223996
473,5.09506,0.32560,1.658951536
474,5.06712,0.40967,2.0758470503999997
475,5.03613,0.46575,2.3455775475
476,5.02563,0.48425,2.4336613275
477,5.02487,0.48325,2.4282684275
478,5.02375,0.47785,2.4005989375
479,5.02431,0.47570,2.390064267
480,5.02544,0.47825,2.40341668
481,5.02619,0.48120,2.418602628
482,5.02525,0.48540,2.43925635
483,5.02400,0.48800,2.451712
484,5.02375,0.48900,2.45661375
485,5.02406,0.48875,2.4555093250000004
486,5.02469,0.48675,2.4457678575
487,5.02500,0.48550,2.4396375
488,5.02500,0.48535,2.43888375
489,5.02500,0.48487,2.4364717500000004
490,5.02488,0.48473,2.4357100824
491,5.02437,0.48443,2.4339555591
492,5.02450,0.48372,2.4304511399999997
493,5.02500,0.48460,2.435115
494,5.02437,0.48700,2.44686819
495,5.02375,0.48650,2.444054375
496,5.02425,0.48470,2.435253975
497,5.02588,0.48450,2.4350388599999997
498,5.02444,0.48345,2.4290655180000003
499,5.02388,0.48198,2.4214096824
500,5.02413,0.48332,2.4282625116000003
501,5.02438,0.48435,2.433558453
502,5.02431,0.48445,2.4340269795
503,5.02473,0.48530,2.438501469
504,5.02469,0.48505,2.4372258844999997
505,5.02381,0.48380,2.4305192780000002
506,5.02319,0.48342,2.4283105097999997
507,5.02388,0.48342,2.4286440696000002
508,5.02425,0.48402,2.431837485
